Skills,Interests,CGPA,Experience,Career
React,Software Development,2.75,Yes,Frontend Developer
Machine Learning,Research,3.17,Yes,Data Scientist
Express.js,Software Development,3.19,No,Backend Developer
React,Web Development,3.73,No,UI/UX Designer
Machine Learning,Research,3.58,No,AI Engineer
Deep Learning,Data Science,3.96,Yes,Data Scientist
Git,Cloud Computing,3.28,No,Cloud Engineer
Docker,Cloud Computing,3.55,No,Cloud Solutions Architect
Git,Data Analytics,3.68,Yes,Product Manager
Linux,Backend Development,3.22,No,Backend Developer
Cyber Security,Cyber Security,3.66,No,Cyber Security Analyst
Pandas,Business Intelligence,3.84,Yes,Data Analyst
SQL,Web Development,2.95,Yes,QA Engineer
Pandas,Artificial Intelligence,3.42,No,Machine Learning Engineer
JavaScript,Mobile App Development,3.61,Yes,Flutter Developer
Excel,Research,2.97,No,Data Analyst
Networking,Automation,3.16,Yes,System Administrator
JavaScript,Web Development,3.86,No,Full Stack Developer
PyTorch,Machine Learning,3.69,Yes,AI Engineer
Linux,Web Development,3.02,No,QA Engineer
Power BI,Data Analytics,3.54,Yes,Product Manager
Excel,Data Science,2.97,Yes,Business Intelligence Analyst
Python,Web Development,3.17,No,QA Engineer
MySQL,Software Development,2.91,Yes,Database Administrator
Azure,Automation,3.86,Yes,Cloud Engineer
Power BI,Research,3.32,Yes,Data Scientist
JavaScript,Web Development,3.44,Yes,UI/UX Designer
Tableau,Data Science,3.5,Yes,Data Scientist
Java,Web Development,3.77,No,Software Engineer
Cyber Security,Cyber Security,3.94,No,Cyber Security Analyst
React,UI/UX Design,3.54,Yes,UI/UX Designer
Excel,Business Intelligence,2.81,No,Business Analyst
MongoDB,Mobile App Development,3.27,Yes,Flutter Developer
Networking,Networking,3.36,Yes,Cloud Solutions Architect
React,Web Development,3.56,Yes,Mobile App Developer
Excel,Business Intelligence,2.82,No,Business Intelligence Analyst
AWS,Cyber Security,3.13,No,Network Engineer
AWS,DevOps,3.29,Yes,DevOps Engineer
Python,Data Analytics,3.62,Yes,Data Analyst
Pandas,Machine Learning,3.63,Yes,Machine Learning Engineer
PostgreSQL,Data Analytics,3.48,Yes,Business Intelligence Analyst
Adobe XD,Mobile App Development,2.72,No,UI/UX Designer
Cloud Computing,Cloud Computing,3.73,No,Cloud Engineer
REST APIs,Automation,2.62,No,QA Engineer
Git,Cloud Computing,3.9,No,Cloud Engineer
REST APIs,Software Development,2.93,No,Flutter Developer
Git,Cloud Computing,3.79,No,DevOps Engineer
R,Artificial Intelligence,3.51,No,Data Scientist
Firebase,Mobile App Development,3.29,No,Flutter Developer
Linux,Automation,3.01,No,QA Engineer
NumPy,Data Analytics,3.17,No,Data Analyst
Flutter,Web Development,3.43,No,Mobile App Developer
Figma,Data Analytics,3.88,Yes,Product Manager
NumPy,Automation,3.4,Yes,Machine Learning Engineer
Cyber Security,Cloud Computing,3.63,Yes,Cyber Security Analyst
Linux,Software Development,3.98,Yes,Software Engineer
SQL,Research,3.67,Yes,Business Analyst
GitHub,Web Development,3.05,Yes,Software Engineer
Kubernetes,DevOps,3.24,Yes,Cloud Engineer
Python,Research,3.81,No,Software Engineer
Python,Web Development,3.11,No,QA Engineer
Power BI,Data Analytics,3.48,No,Business Analyst
Bash,Networking,3.1,No,System Administrator
Dart,Mobile App Development,3.72,Yes,Mobile App Developer
Docker,Automation,2.98,No,QA Engineer
AWS,Cloud Computing,3.75,Yes,Cloud Solutions Architect
Firebase,Mobile App Development,3.11,No,Mobile App Developer
